start,duration,vpid,episode pid,title,direction,delta
14:55:56,PT11M3S,b07jgkbr,b07jgklh,Attack of the Clowns,late,659.331975
14:56:57,PT11M19S,b07zjfkg,b07zjfkq,Agent 58,,
15:04:54,PT11M19S,b07zjfkg,b07zjfkq,Agent 58,late,534.237299
15:07:19,PT11M13S,b07ypcmz,b07ypmlv,All 5it,,
15:18:32,PT11M13S,b07ypcmz,b07ypmlv,All 5it,,
15:23:24,PT3S,p0fhr412,p0fhr40w,,,
15:23:27,PT49S,p0fjg9sq,p0fjg9sl,,,
15:24:16,PT11M9.36S,b08dn4v0,b06mz6f7,"The Eiffel Tower, France",,
15:35:25,PT3S,p0fjg27l,p0fjg27g,,,
15:35:28,PT11M13.04S,b08dncls,b06mz7g7,"The Pyramids of Giza, Egypt",,
15:46:41,PT3S,p0fdt0x2,p0fdt0wy,,,
15:46:44,PT30S,p0fjh1y4,p0fjh1y0,,,
15:47:14,PT11M4.2S,b06g0yd1,b06g1373,Planet of the Toilets,,
15:58:19,PT3S,p0fdt426,p0fdt422,,,
15:58:22,PT11M6S,b074gl3t,b06g14ng,Pink Dawn,,
16:07:35,PT1M,p0fdrlph,p0fdrlpc,,,
16:08:35,PT10S,p0fdrp70,p0fdrp6t,,,
16:08:45,PT1M,p0fdrlph,p0fdrlpc,,,
16:09:45,PT3S,p0fhr412,p0fhr40w,,,
16:10:01,PT1M,p0fdrlph,p0fdrlpc,,,
16:11:01,PT1M,p0fdrlph,p0fdrlpc,,,
16:12:02,PT1M,p0fdrlph,p0fdrlpc,,,
16:13:02,PT1M,p0fdrlph,p0fdrlpc,,,
16:14:04,PT1M,p0fdrlph,p0fdrlpc,,,
16:15:04,PT11M8.36S,b08fdvym,b06mz86n,"Stonehenge, England",,
16:26:55,PT1M,p0fdrlph,p0fdrlpc,,,
16:27:09,PT10S,p0fdrp70,p0fdrp6t,,,
16:27:19,PT1M,p0fdrlph,p0fdrlpc,,,
16:28:19,PT10S,p0fdrp70,p0fdrp6t,,,
16:28:29,PT3S,p0fdt38w,p0fdt38h,,,
16:28:32,PT1M,p0fdrlph,p0fdrlpc,,,
16:29:32,PT10S,p0fdrp70,p0fdrp6t,,,
16:29:42,PT1M,p0fdrlph,p0fdrlpc,,,
16:30:42,PT10S,p0fdrp70,p0fdrp6t,,,
16:30:52,PT10S,p0fdrp70,p0fdrp6t,,,
16:31:02,PT30S,p0fjh1y4,p0fjh1y0,,,
16:31:32,PT3S,p0fdswns,p0fdswnn,,,
16:31:35,PT11M16S,b06h8pgv,b06h8v39,The World Wide Spider,,
16:42:49,PT3S,p0fhr412,p0fhr40w,,,
16:42:52,PT49S,p0fjg9sq,p0fjg9sl,,,
16:43:41,PT11M14.8S,b088rp4g,b06mzbl8,"Niagara Falls, Canada and USA",,
16:54:56,PT3S,p0fjg27l,p0fjg27g,,,
16:54:59,PT11M14.6S,b08ffffz,b06nsvp4,"Sydney Opera House, Australia",,
17:06:14,PT3S,p0fdt0x2,p0fdt0wy,,,
17:06:16,PT30S,p0fjh1y4,p0fjh1y0,,,
17:06:46,PT11M,b06h8q9z,b06h8vl4,The Other Day the Earth Stood Still,,
17:17:46,PT3S,p0fdt426,p0fdt422,,,
17:17:49,PT11M10S,b06h8r22,b06h8rp7,Welcome to Danger World!,,
17:28:59,PT3S,p0fhr412,p0fhr40w,,,
17:29:02,PT30S,p0fjh02b,p0fjh024,,,
17:29:32,PT10M52.84S,b08dn55b,b06ph4vy,"The Statue of Liberty, USA",,
17:40:25,PT3S,p0fjg27l,p0fjg27g,,,
17:40:28,PT11M10.36S,b08dqrbm,b06q6k5h,"The Brandenburg Gate, Germany",,
17:57:41,PT1M,p0fdrlph,p0fdrlpc,,,
17:58:41,PT10S,p0fdrp70,p0fdrp6t,,,
17:58:51,PT1M,p0fdrlph,p0fdrlpc,,,
17:59:51,PT10S,p0fdrp70,p0fdrp6t,,,
18:00:01,PT1M,p0fdrlph,p0fdrlpc,,,
18:01:01,PT10S,p0fdrp70,p0fdrp6t,,,
18:01:11,PT1M,p0fdrlph,p0fdrlpc,,,
18:02:02,PT10S,p0fdrp70,p0fdrp6t,,,
18:02:12,PT1M,p0fdrlph,p0fdrlpc,,,
18:03:12,PT10S,p0fdrp70,p0fdrp6t,,,
18:03:22,PT1M,p0fdrlph,p0fdrlpc,,,
18:04:22,PT10S,p0fdrp70,p0fdrp6t,,,
18:04:32,PT1M,p0fdrlph,p0fdrlpc,,,
18:05:32,PT10S,p0fdrp70,p0fdrp6t,,,
18:05:42,PT1M,p0fdrlph,p0fdrlpc,,,
21:50:44,PT10S,p0fdrp70,p0fdrp6t,,,
21:50:54,PT1M,p0fdrlph,p0fdrlpc,,,
21:51:54,PT10S,p0fdrp70,p0fdrp6t,,,
21:52:04,PT1M,p0fdrlph,p0fdrlpc,,,
21:53:04,PT49S,p0fjg9sq,p0fjg9sl,,,
21:53:53,PT10S,p0fdrp70,p0fdrp6t,,,
21:54:03,PT1M,p0fdrlph,p0fdrlpc,,,
21:55:02,PT1M,p0fdrlph,p0fdrlpc,,,
21:56:02,PT1M,p0fdrlph,p0fdrlpc,,,
21:57:03,PT1M,p0fdrlph,p0fdrlpc,,,
21:58:03,PT1M,p0fdrlph,p0fdrlpc,,,
21:59:03,PT1M,p0fdrlph,p0fdrlpc,,,
22:00:04,PT1M,p0fdrlph,p0fdrlpc,,,
22:01:04,PT1M,p0fdrlph,p0fdrlpc,,,
22:01:15,PT10M48.52S,b06r8p6p,b06r8pb8,"Chichen Itza, Mexico",,
22:08:32,PT10S,p0fdrp70,p0fdrp6t,,,
22:08:42,PT1M,p0fdrlph,p0fdrlpc,,,
22:09:42,PT10S,p0fdrp70,p0fdrp6t,,,
22:09:52,PT1M,p0fdrlph,p0fdrlpc,,,
22:10:52,PT10S,p0fdrp70,p0fdrp6t,,,
22:11:02,PT1M,p0fdrlph,p0fdrlpc,,,
22:12:02,PT10S,p0fdrp70,p0fdrp6t,,,
22:12:12,PT1M,p0fdrlph,p0fdrlpc,,,
22:13:02,PT11M6S,b06g0t7d,b06g10pw,Danger at C Level,,
22:24:08,PT1M,p0fdrlph,p0fdrlpc,,,
22:25:11,PT1M,p0fdrlph,p0fdrlpc,,,
22:26:12,PT1M,p0fdrlph,p0fdrlpc,,,
22:27:12,PT1M,p0fdrlph,p0fdrlpc,,,
22:28:13,PT1M,p0fdrlph,p0fdrlpc,,,
22:29:13,PT1M,p0fdrlph,p0fdrlpc,,,
22:30:13,PT1M,p0fdrlph,p0fdrlpc,,,
22:30:51,PT49S,p0fjg9sq,p0fjg9sl,,,
22:31:34,PT11M9.36S,b08dn4v0,b06mz6f7,"The Eiffel Tower, France",,
22:42:43,PT3S,p0fjg27l,p0fjg27g,,,
22:42:46,PT11M13.04S,b08dncls,b06mz7g7,"The Pyramids of Giza, Egypt",,
22:53:59,PT3S,p0fdt0x2,p0fdt0wy,,,
22:54:02,PT30S,p0fjh1y4,p0fjh1y0,,,
22:54:32,PT11M4.2S,b06g0yd1,b06g1373,Planet of the Toilets,,
23:05:37,PT3S,p0fdt426,p0fdt422,,,
23:06:37,PT10S,p0fdrp70,p0fdrp6t,,,
23:06:47,PT1M,p0fdrlph,p0fdrlpc,,,
23:07:47,PT10S,p0fdrp70,p0fdrp6t,,,
23:07:57,PT1M,p0fdrlph,p0fdrlpc,,,
23:08:57,PT10S,p0fdrp70,p0fdrp6t,,,
23:09:07,PT1M,p0fdrlph,p0fdrlpc,,,
23:10:07,PT10S,p0fdrp70,p0fdrp6t,,,
23:10:17,PT1M,p0fdrlph,p0fdrlpc,,,
23:11:08,PT10S,p0fdrp70,p0fdrp6t,,,
23:11:18,PT1M,p0fdrlph,p0fdrlpc,,,
23:12:18,PT10S,p0fdrp70,p0fdrp6t,,,
23:12:28,PT1M,p0fdrlph,p0fdrlpc,,,
23:13:28,PT10S,p0fdrp70,p0fdrp6t,,,
23:13:38,PT1M,p0fdrlph,p0fdrlpc,,,
23:14:38,PT10S,p0fdrp70,p0fdrp6t,,,
23:14:48,PT1M,p0fdrlph,p0fdrlpc,,,
23:15:48,PT10S,p0fdrp70,p0fdrp6t,,,
23:15:58,PT1M,p0fdrlph,p0fdrlpc,,,
23:16:48,PT10S,p0fdrp70,p0fdrp6t,,,
23:16:58,PT1M,p0fdrlph,p0fdrlpc,,,
23:17:58,PT10S,p0fdrp70,p0fdrp6t,,,
23:18:08,PT1M,p0fdrlph,p0fdrlpc,,,
23:19:08,PT10S,p0fdrp70,p0fdrp6t,,,
23:19:18,PT1M,p0fdrlph,p0fdrlpc,,,
23:20:18,PT10S,p0fdrp70,p0fdrp6t,,,
23:20:28,PT1M,p0fdrlph,p0fdrlpc,,,
23:21:28,PT10S,p0fdrp70,p0fdrp6t,,,
23:21:38,PT1M,p0fdrlph,p0fdrlpc,,,
23:22:29,PT10S,p0fdrp70,p0fdrp6t,,,
23:22:39,PT1M,p0fdrlph,p0fdrlpc,,,
23:23:39,PT10S,p0fdrp70,p0fdrp6t,,,
23:23:49,PT1M,p0fdrlph,p0fdrlpc,,,
23:24:49,PT10S,p0fdrp70,p0fdrp6t,,,
23:24:59,PT1M,p0fdrlph,p0fdrlpc,,,
23:25:59,PT10S,p0fdrp70,p0fdrp6t,,,
23:26:09,PT1M,p0fdrlph,p0fdrlpc,,,
23:27:09,PT10S,p0fdrp70,p0fdrp6t,,,
23:27:19,PT1M,p0fdrlph,p0fdrlpc,,,
23:28:09,PT10S,p0fdrp70,p0fdrp6t,,,
23:28:19,PT1M,p0fdrlph,p0fdrlpc,,,
23:29:19,PT10S,p0fdrp70,p0fdrp6t,,,
23:29:29,PT1M,p0fdrlph,p0fdrlpc,,,
23:30:29,PT10S,p0fdrp70,p0fdrp6t,,,
23:30:39,PT1M,p0fdrlph,p0fdrlpc,,,
23:31:39,PT10S,p0fdrp70,p0fdrp6t,,,
23:31:49,PT1M,p0fdrlph,p0fdrlpc,,,
23:32:49,PT10S,p0fdrp70,p0fdrp6t,,,
23:32:59,PT1M,p0fdrlph,p0fdrlpc,,,
23:33:50,PT10S,p0fdrp70,p0fdrp6t,,,
23:34:00,PT1M,p0fdrlph,p0fdrlpc,,,
23:35:00,PT10S,p0fdrp70,p0fdrp6t,,,
23:35:10,PT1M,p0fdrlph,p0fdrlpc,,,
23:36:10,PT10S,p0fdrp70,p0fdrp6t,,,
23:36:20,PT1M,p0fdrlph,p0fdrlpc,,,
23:37:20,PT10S,p0fdrp70,p0fdrp6t,,,
23:37:30,PT1M,p0fdrlph,p0fdrlpc,,,
23:38:30,PT10S,p0fdrp70,p0fdrp6t,,,
23:38:40,PT1M,p0fdrlph,p0fdrlpc,,,
23:39:30,PT10S,p0fdrp70,p0fdrp6t,,,
23:39:40,PT1M,p0fdrlph,p0fdrlpc,,,
23:40:40,PT10S,p0fdrp70,p0fdrp6t,,,
23:40:50,PT1M,p0fdrlph,p0fdrlpc,,,
23:41:50,PT10S,p0fdrp70,p0fdrp6t,,,
23:42:00,PT1M,p0fdrlph,p0fdrlpc,,,
23:43:00,PT10S,p0fdrp70,p0fdrp6t,,,
23:43:10,PT1M,p0fdrlph,p0fdrlpc,,,
23:44:10,PT10S,p0fdrp70,p0fdrp6t,,,
23:44:20,PT1M,p0fdrlph,p0fdrlpc,,,
23:45:10,PT10S,p0fdrp70,p0fdrp6t,,,
23:45:20,PT1M,p0fdrlph,p0fdrlpc,,,
23:46:20,PT10S,p0fdrp70,p0fdrp6t,,,
23:46:30,PT1M,p0fdrlph,p0fdrlpc,,,
23:47:30,PT10S,p0fdrp70,p0fdrp6t,,,
23:47:40,PT1M,p0fdrlph,p0fdrlpc,,,
23:48:40,PT10S,p0fdrp70,p0fdrp6t,,,
23:48:50,PT1M,p0fdrlph,p0fdrlpc,,,
23:49:50,PT10S,p0fdrp70,p0fdrp6t,,,
23:50:00,PT1M,p0fdrlph,p0fdrlpc,,,
23:50:51,PT10S,p0fdrp70,p0fdrp6t,,,
23:51:01,PT1M,p0fdrlph,p0fdrlpc,,,
23:52:01,PT10S,p0fdrp70,p0fdrp6t,,,
23:52:11,PT1M,p0fdrlph,p0fdrlpc,,,
23:53:11,PT10S,p0fdrp70,p0fdrp6t,,,
23:53:21,PT1M,p0fdrlph,p0fdrlpc,,,
23:54:21,PT10S,p0fdrp70,p0fdrp6t,,,
23:54:31,PT1M,p0fdrlph,p0fdrlpc,,,
23:55:31,PT10S,p0fdrp70,p0fdrp6t,,,
23:55:41,PT1M,p0fdrlph,p0fdrlpc,,,
23:56:31,PT10S,p0fdrp70,p0fdrp6t,,,
23:56:41,PT1M,p0fdrlph,p0fdrlpc,,,
23:57:41,PT10S,p0fdrp70,p0fdrp6t,,,
23:57:51,PT1M,p0fdrlph,p0fdrlpc,,,
23:58:51,PT10S,p0fdrp70,p0fdrp6t,,,
23:59:01,PT1M,p0fdrlph,p0fdrlpc,,,
